"Name","Id","Align ","Eye ","Hair ","Sex ","Alive ","Appearances ","First Appearance ","Year "
"captain osaki (earth-616)"," public identity"," bad characters"," None"," black hair"," male characters"," deceased characters"," 1.0"," mar-44"," 1944.0"
"hogan adopted son (earth-616)"," no dual identity"," neutral characters"," None"," blond hair"," male characters"," living characters"," 2.0"," oct-85"," 1985.0"
"torpedo turner (earth-616)"," secret identity"," bad characters"," None"," brown hair"," male characters"," deceased characters"," 1.0"," jun-48"," 1948.0"
"infernal man (earth-616)"," secret identity"," bad characters"," None"," None"," male characters"," living characters"," 3.0"," sep-07"," 2007.0"
"zoran (earth-616)"," no dual identity"," bad characters"," None"," black hair"," male characters"," deceased characters"," 3.0"," oct-07"," 2007.0"
"samuel griggs (earth-616)"," None"," None"," None"," None"," male characters"," living characters"," 6.0"," sep-01"," 2001.0"
"justin baldwin (earth-616)"," public identity"," good characters"," None"," brown hair"," male characters"," living characters"," 28.0"," sep-88"," 1988.0"
"spider-man (peter parker)"," secret identity"," good characters"," hazel eyes"," brown hair"," male characters"," living characters"," 4043.0"," aug-62"," 1962.0"
"alturi (earth-616)"," no dual identity"," neutral characters"," None"," grey hair"," male characters"," living characters"," 2.0"," aug-11"," 2011.0"
"milandra (earth-616)"," None"," good characters"," None"," blond hair"," female characters"," living characters"," 1.0"," sep-78"," 1978.0"
"jung sakamura (earth-616)"," public identity"," good characters"," None"," black hair"," male characters"," living characters"," 2.0"," jan-95"," 1995.0"
"miss locke (earth-616)"," secret identity"," bad characters"," None"," black hair"," female characters"," deceased characters"," 39.0"," jan-78"," 1978.0"
"ruseef (earth-616)"," public identity"," None"," None"," no hair"," male characters"," living characters"," 1.0"," oct-73"," 1973.0"
"crawler (earth-616)"," secret identity"," bad characters"," None"," white hair"," male characters"," living characters"," 1.0"," jul-87"," 1987.0"
"ivan (rasputin) (earth-616)"," secret identity"," neutral characters"," white eyes"," blond hair"," male characters"," living characters"," 4.0"," nov-05"," 2005.0"
"ammo (earth-616)"," None"," bad characters"," brown eyes"," black hair"," male characters"," living characters"," 4.0"," mar-88"," 1988.0"
"zeus panhellenios (earth-616)"," no dual identity"," neutral characters"," blue eyes"," red hair"," male characters"," living characters"," 124.0"," jun-49"," 1949.0"
"teddy matson (earth-616)"," public identity"," None"," None"," brown hair"," male characters"," living characters"," 2.0"," mar-93"," 1993.0"
"amy chen (earth-616)"," secret identity"," neutral characters"," black eyes"," black hair"," female characters"," living characters"," 34.0"," jul-92"," 1992.0"
"madeline watson (earth-616)"," None"," None"," None"," blond hair"," female characters"," deceased characters"," 8.0"," dec-84"," 1984.0"
"professor dorn (earth-616)"," public identity"," bad characters"," None"," brown hair"," male characters"," deceased characters"," 1.0"," sep-41"," 1941.0"
"john lopez (earth-616)"," secret identity"," neutral characters"," brown eyes"," black hair"," male characters"," deceased characters"," 13.0"," aug-02"," 2002.0"
"stranger (shadow riders) (earth-616)"," None"," good characters"," None"," None"," male characters"," living characters"," 4.0"," jun-93"," 1993.0"
"manuel vicente (earth-616)"," secret identity"," neutral characters"," brown eyes"," brown hair"," male characters"," living characters"," 14.0"," jul-99"," 1999.0"
"les (esu) (earth-616)"," public identity"," neutral characters"," None"," auburn hair"," male characters"," living characters"," 1.0"," jul-90"," 1990.0"
"pan (olympian god) (earth-616)"," None"," neutral characters"," None"," white hair"," male characters"," living characters"," 2.0"," nov-59"," 1959.0"
"akihiro (earth-616)"," secret identity"," bad characters"," blue eyes"," black hair"," male characters"," living characters"," 189.0"," oct-06"," 2006.0"
"king cadaver (earth-616)"," secret identity"," bad characters"," white eyes"," green hair"," male characters"," deceased characters"," 5.0"," jul-74"," 1974.0"
"lorvex (earth-616)"," public identity"," bad characters"," None"," brown hair"," male characters"," living characters"," 5.0"," oct-72"," 1972.0"
"menalaos (earth-616)"," public identity"," good characters"," None"," black hair"," male characters"," living characters"," 1.0"," jun-42"," 1942.0"
"khalid inshallah (earth-616)"," public identity"," good characters"," None"," grey hair"," male characters"," living characters"," 2.0"," jul-89"," 1989.0"
"magda malone (earth-616)"," public identity"," good characters"," blue eyes"," black hair"," female characters"," living characters"," 1.0"," mar-48"," 1948.0"
"von gukk (earth-616)"," no dual identity"," bad characters"," None"," bald"," male characters"," living characters"," 1.0"," jun-43"," 1943.0"
"hellverine (earth-616)"," secret identity"," bad characters"," white eyes"," black hair"," male characters"," living characters"," 12.0"," nov-10"," 2010.0"
"thaiis (earth-616)"," None"," bad characters"," blue eyes"," blond hair"," female characters"," living characters"," 5.0"," jul-01"," 2001.0"
"alex (inferno baby) (earth-616)"," secret identity"," bad characters"," purple eyes"," no hair"," male characters"," living characters"," 9.0"," dec-88"," 1988.0"
"jonathan rickman (earth-616)"," public identity"," None"," black eyes"," no hair"," male characters"," deceased characters"," 2.0"," sep-99"," 1999.0"
"aunt serr (earth-616)"," secret identity"," bad characters"," None"," black hair"," female characters"," living characters"," 2.0"," sep-71"," 1971.0"
"chris ramsey (earth-616)"," secret identity"," bad characters"," None"," black hair"," male characters"," living characters"," 1.0"," oct-45"," 1945.0"
"noah van helsing (earth-616)"," None"," good characters"," None"," grey hair"," male characters"," living characters"," 3.0"," dec-04"," 2004.0"
"leiko tanaka (earth-616)"," secret identity"," good characters"," brown eyes"," black hair"," female characters"," living characters"," 14.0"," sep-98"," 1998.0"
"scotty mcdowell (earth-616)"," secret identity"," neutral characters"," None"," brown hair"," male characters"," living characters"," 16.0"," dec-79"," 1979.0"
"dakari (earth-616)"," public identity"," good characters"," white eyes"," None"," male characters"," living characters"," 2.0"," dec-85"," 1985.0"
"ralph mcelroy (earth-616)"," public identity"," None"," None"," None"," male characters"," deceased characters"," 1.0"," jun-75"," 1975.0"
"turoq (earth-616)"," None"," good characters"," None"," None"," male characters"," living characters"," 7.0"," feb-84"," 1984.0"
"archibald dyker (earth-616)"," secret identity"," bad characters"," blue eyes"," no hair"," male characters"," living characters"," 33.0"," nov-76"," 1976.0"
"orlando sinclair (earth-616)"," secret identity"," good characters"," brown eyes"," black hair"," male characters"," living characters"," 2.0"," jul-93"," 1993.0"
"veritas (earth-616)"," None"," neutral characters"," None"," None"," male characters"," living characters"," 1.0"," mar-67"," 1967.0"
